patch_id,city_code,entropy_normalised,n_4way,n_3way,n_deadend,proportion_4way,proportion_3way,proportion_deadend,mean_degree,mean_edge_length,total_edge_length,meshedness,intersection_density,street_density,circuity,distance_to_center_km
phoenix_0919,phoenix,0.517459,5,40,16,0.065789,0.526316,0.210526,2.4474,87.63,8149.8,0.122449,118.75,12.7341,1.035209,23.687
laplata_0012,laplata,0.518268,34,17,4,0.453333,0.226667,0.053333,3.12,81.88,9580.26,0.296552,117.19,14.9691,1.013141,1.83
denver_0105,denver,0.566546,123,165,159,0.265086,0.355603,0.342672,2.556,35.35,20965.18,0.140845,725.0,32.7581,1.062613,3.336
chicago_0894,chicago,0.564782,209,110,18,0.588732,0.309859,0.050704,3.4366,41.91,25568.06,0.363121,554.69,39.9501,1.010256,15.567
detroit_0441,detroit,0.546056,119,132,64,0.347953,0.385965,0.187135,2.9123,45.66,22736.64,0.231222,534.37,35.526,1.056672,2.919
kyoto_0303,kyoto,0.508599,159,218,27,0.364679,0.5,0.061927,3.1743,37.48,25938.18,0.296424,681.25,40.5284,1.028787,3.999
saltlakecity_0192,saltlakecity,0.530146,35,76,55,0.195531,0.424581,0.307263,2.5251,43.29,9783.19,0.135977,279.69,15.2862,1.066553,4.152
mendoza_0048,mendoza,0.567584,14,45,4,0.191781,0.616438,0.054795,2.9863,79.93,8712.19,0.262411,114.06,13.6128,1.003298,9.373
chennai_0614,chennai,0.536376,7,41,1,0.106061,0.621212,0.015152,2.8182,79.54,7397.57,0.220472,103.12,11.5587,1.024883,14.052
houston_1077,houston,0.555645,31,75,34,0.197452,0.477707,0.216561,2.6752,50.84,10676.17,0.174757,245.31,16.6815,1.057375,6.318
phoenix_0568,phoenix,0.521541,4,60,14,0.041237,0.618557,0.14433,2.5567,69.67,8639.03,0.148148,151.56,13.4985,1.073419,5.215
orlando_0533,orlando,0.517661,8,26,4,0.16,0.52,0.08,2.76,96.13,6632.91,0.210526,78.12,10.3639,1.00635,3.069
lasvegas_0661,lasvegas,0.511671,29,63,11,0.256637,0.557522,0.097345,2.9735,70.69,11876.61,0.253394,176.56,18.5572,1.059631,1.603
