patch_id,city_code,entropy_normalised,n_4way,n_3way,n_deadend,proportion_4way,proportion_3way,proportion_deadend,mean_degree,mean_edge_length,total_edge_length,meshedness,intersection_density,street_density,circuity,distance_to_center_km
cairo_1342,cairo,0.472077,0,66,2,0.0,0.916667,0.027778,2.8889,19.32,2009.78,0.23741,112.5,3.1403,0.999444,37.103
detroit_0422,detroit,0.488948,194,113,18,0.538889,0.313889,0.05,3.35,39.3,23696.57,0.341259,562.5,37.0259,1.022229,4.408
houston_0250,houston,0.486385,31,33,9,0.336957,0.358696,0.097826,2.9348,65.61,8857.19,0.24581,143.75,13.8394,1.00985,13.731
orlando_0491,orlando,0.50401,0,21,9,0.0,0.538462,0.230769,2.3077,83.5,3757.59,0.09589,60.94,5.8712,1.033083,3.297
detroit_0102,detroit,0.492048,239,201,16,0.505285,0.424947,0.033827,3.408,34.54,27837.52,0.354942,739.06,43.4961,1.01711,16.821
cleveland_0549,cleveland,0.491419,123,108,18,0.457249,0.401487,0.066914,3.2491,45.04,19683.58,0.317073,420.31,30.7556,1.060527,11.461
chicago_0436,chicago,0.505134,285,204,12,0.544933,0.390057,0.022945,3.4685,32.71,29667.06,0.369837,817.19,46.3548,1.010696,14.982
orlando_0605,orlando,0.481036,38,48,18,0.330435,0.417391,0.156522,2.9217,65.1,10936.71,0.24,179.69,17.0886,1.007431,3.391
cleveland_0440,cleveland,0.454243,127,83,11,0.503968,0.329365,0.043651,3.2937,40.73,16904.1,0.328657,393.75,26.4127,1.006906,8.707
chicago_0688,chicago,0.472442,221,121,12,0.586207,0.320955,0.03183,3.4695,40.92,26760.4,0.371162,589.06,41.8131,1.005666,10.151
portland_0188,portland,0.502117,42,129,46,0.179487,0.551282,0.196581,2.7265,42.3,13492.6,0.185745,365.62,21.0822,1.017147,6.963
brasilia_0576,brasilia,0.469602,7,19,6,0.166667,0.452381,0.142857,2.7143,133.25,7595.51,0.202532,65.62,11.868,1.012529,20.216
chicago_0630,chicago,0.464999,317,173,12,0.608445,0.332054,0.023033,3.5432,34.6,31937.99,0.388621,814.06,49.9031,1.019917,18.99
lasvegas_0379,lasvegas,0.48676,10,28,40,0.114943,0.321839,0.45977,2.092,82.2,7480.06,0.029586,135.94,11.6876,1.002389,14.222
detroit_0060,detroit,0.471539,117,140,6,0.419355,0.501792,0.021505,3.319,43.98,20361.03,0.334539,435.94,31.8141,1.007886,14.713
portland_0411,portland,0.465251,19,66,28,0.142857,0.496241,0.210526,2.5714,64.29,10993.49,0.149425,207.81,17.1773,1.029704,7.227
chicago_0389,chicago,0.494827,267,89,20,0.69171,0.23057,0.051813,3.5751,44.24,30528.15,0.397653,603.12,47.7002,1.039394,13.809
laplata_0035,laplata,0.466132,19,13,5,0.365385,0.25,0.096154,2.8846,101.63,7622.17,0.242424,81.25,11.9096,1.000774,2.582
detroit_0358,detroit,0.474632,82,75,11,0.443243,0.405405,0.059459,3.2324,56.75,16969.29,0.315068,289.06,26.5145,1.006189,10.815
houston_0709,houston,0.499883,116,117,71,0.36478,0.367925,0.22327,2.8742,42.19,19280.72,0.22187,496.87,30.1261,1.015652,3.75
phoenix_0202,phoenix,0.499946,14,44,10,0.168675,0.53012,0.120482,2.747,59.69,6804.43,0.198758,129.69,10.6319,1.053403,10.742
cairo_0196,cairo,0.505399,1,69,9,0.01,0.69,0.09,2.62,57.17,7489.45,0.164103,156.25,11.7023,1.012264,21.526
phoenix_0823,phoenix,0.488616,4,23,15,0.08,0.46,0.3,2.32,89.7,5202.32,0.094737,78.12,8.1286,1.014241,3.161
buenosaires_0028,buenosaires,0.496904,23,40,11,0.261364,0.454545,0.125,2.8864,78.04,9911.69,0.233918,137.5,15.487,1.002418,11.309
detroit_0213,detroit,0.499489,267,128,52,0.565678,0.271186,0.110169,3.3051,36.93,28807.04,0.329073,737.5,45.011,1.012857,16.173
phoenix_1766,phoenix,0.504674,34,55,11,0.278689,0.45082,0.090164,2.918,69.51,12372.72,0.238494,190.62,19.3324,1.00705,21.509
chicago_0718,chicago,0.445584,358,172,21,0.624782,0.300175,0.036649,3.5288,34.92,35299.64,0.38475,895.31,55.1557,1.015428,20.499
houston_0669,houston,0.462305,55,63,21,0.369128,0.422819,0.14094,3.0201,62.6,14083.98,0.262799,232.81,22.0062,1.010321,4.881
manhattan_0044,manhattan,0.468804,187,124,112,0.411894,0.273128,0.246696,2.8634,35.0,22746.82,0.218162,709.37,35.5419,1.012783,4.806
houston_0678,houston,0.493362,20,22,18,0.289855,0.318841,0.26087,2.6377,74.12,6744.73,0.172932,107.81,10.5386,1.023074,11.237
tehran_0296,tehran,0.476663,28,98,34,0.14433,0.505155,0.175258,2.6186,59.67,15155.74,0.159269,303.12,23.6808,1.015572,6.511
phoenix_1309,phoenix,0.501209,4,25,15,0.0625,0.390625,0.234375,2.2812,87.67,6399.64,0.081301,100.0,9.9994,1.033885,16.395
denver_0112,denver,0.500665,337,195,21,0.582038,0.336788,0.036269,3.4646,31.55,31649.4,0.368604,904.69,49.4522,1.007872,5.413
cleveland_0438,cleveland,0.487924,208,83,3,0.666667,0.266026,0.009615,3.5897,43.4,24301.23,0.402262,487.5,37.9707,1.003106,9.363
lasvegas_0560,lasvegas,0.481229,4,33,21,0.051948,0.428571,0.272727,2.2597,102.95,8956.88,0.073826,120.31,13.9951,1.077174,11.497
detroit_0118,detroit,0.505583,157,81,28,0.560714,0.289286,0.1,3.3214,43.53,20241.55,0.335135,437.5,31.6274,0.999913,12.392
cairo_0404,cairo,0.498569,53,111,37,0.243119,0.509174,0.169725,2.8257,51.76,15943.52,0.211137,340.62,24.9117,1.007541,24.334
chicago_0929,chicago,0.479402,194,109,26,0.562319,0.315942,0.075362,3.3739,42.64,24818.88,0.347445,539.06,38.7795,1.022172,16.848
saltlakecity_0214,saltlakecity,0.455557,160,53,73,0.538721,0.178451,0.245791,3.0101,47.73,21336.43,0.256367,464.06,33.3382,1.01214,2.176
detroit_0067,detroit,0.455706,170,112,10,0.562914,0.370861,0.033113,3.4636,42.48,22216.24,0.370618,471.87,34.7129,1.004381,17.952
minneapolis_0217,minneapolis,0.504297,51,66,20,0.346939,0.44898,0.136054,3.0068,67.55,14929.51,0.259516,229.69,23.3274,1.019584,6.656
medellin_0250,medellin,0.445337,43,46,12,0.380531,0.40708,0.106195,3.0619,78.0,13494.32,0.276018,176.56,21.0849,1.006907,3.919
minneapolis_0706,minneapolis,0.493066,148,100,35,0.493333,0.333333,0.116667,3.2133,53.74,25904.58,0.307563,468.75,40.4759,1.001956,9.159
budapest_0496,budapest,0.502517,219,157,21,0.506944,0.363426,0.048611,3.3287,37.17,26721.64,0.335274,675.0,41.7526,1.00263,9.343
detroit_0708,detroit,0.501586,123,80,28,0.506173,0.329218,0.115226,3.2263,50.61,19839.67,0.31185,379.69,30.9995,1.003106,15.559
chicago_0516,chicago,0.496617,223,157,45,0.491189,0.345815,0.099119,3.2555,38.05,28117.27,0.316722,709.37,43.9332,1.041278,11.537
detroit_0454,detroit,0.463681,45,76,4,0.340909,0.575758,0.030303,3.2273,71.14,15152.47,0.316602,206.25,23.6757,1.006536,11.768
detroit_0292,detroit,0.493972,49,64,20,0.324503,0.423841,0.13245,2.9404,35.87,7962.43,0.242424,235.94,12.4413,1.034686,7.545
munich_0505,munich,0.497032,122,290,58,0.239216,0.568627,0.113725,2.9333,36.4,27230.88,0.235468,796.87,42.5482,1.016639,9.17
detroit_0316,detroit,0.500624,23,74,7,0.186992,0.601626,0.056911,2.9431,75.82,13724.2,0.244813,192.19,21.4441,1.016671,7.345
portland_0302,portland,0.492516,34,50,6,0.34,0.5,0.06,3.12,79.18,12352.67,0.292308,156.25,19.3011,1.005005,4.792
cleveland_0193,cleveland,0.490906,61,94,6,0.326203,0.502674,0.032086,3.123,38.13,11135.21,0.287263,292.19,17.3988,1.077241,10.204
chicago_0336,chicago,0.475103,222,162,14,0.533654,0.389423,0.033654,3.4231,37.22,26501.48,0.359129,650.0,41.4086,1.017577,21.558
chicago_0569,chicago,0.48752,270,133,43,0.588235,0.28976,0.093682,3.3856,39.17,30434.92,0.349398,717.19,47.5546,1.017642,13.568
cairo_0823,cairo,0.470119,0,18,10,0.0,0.580645,0.322581,2.2581,20.05,701.87,0.087719,48.44,1.0967,1.029593,22.033
lasvegas_0416,lasvegas,0.452961,8,41,37,0.085106,0.43617,0.393617,2.2766,77.3,8271.13,0.076503,146.87,12.9236,1.037536,13.9
denver_0302,denver,0.47004,90,96,18,0.422535,0.450704,0.084507,3.2113,49.77,17019.95,0.308789,332.81,26.5937,1.019848,5.033
vancouver_0140,vancouver,0.450961,68,112,38,0.284519,0.468619,0.158996,2.8787,51.49,17711.66,0.224101,373.44,27.6745,1.023689,4.814
chicago_0221,chicago,0.449845,236,123,12,0.609819,0.317829,0.031008,3.5142,37.74,25664.2,0.382315,604.69,40.1003,1.010553,11.901
denver_0243,denver,0.485418,94,94,26,0.408696,0.408696,0.113043,3.113,54.12,19373.55,0.283516,359.37,30.2712,1.018828,3.759
chicago_0358,chicago,0.450506,137,84,53,0.461279,0.282828,0.178451,3.037,42.43,19134.15,0.263158,464.06,29.8971,1.005093,6.698
orlando_0514,orlando,0.471777,5,23,6,0.128205,0.589744,0.153846,2.8718,82.65,4628.51,0.246575,60.94,7.232,1.030496,12.722
houston_0755,houston,0.48706,27,41,33,0.236842,0.359649,0.289474,2.5439,68.69,9960.77,0.143498,178.12,15.5637,1.011925,6.949
denver_0191,denver,0.49529,270,72,12,0.747922,0.199446,0.033241,3.662,42.73,28243.2,0.419805,564.06,44.13,1.001378,6.045
chicago_0143,chicago,0.449239,327,143,15,0.641176,0.280392,0.029412,3.5451,34.97,31609.77,0.389163,796.87,49.3903,1.008257,13.721
phoenix_0532,phoenix,0.490971,4,37,23,0.049383,0.45679,0.283951,2.2716,89.43,8227.36,0.076433,126.56,12.8552,1.094751,19.682
chicago_0442,chicago,0.475558,221,161,20,0.523697,0.381517,0.047393,3.3886,40.13,28689.69,0.350417,659.37,44.8276,1.016752,10.591
chicago_0629,chicago,0.470779,183,163,19,0.471649,0.420103,0.048969,3.3144,37.07,23833.44,0.332036,606.25,37.2398,1.045551,19.787
chicago_0189,chicago,0.469248,197,91,24,0.609907,0.281734,0.074303,3.4365,42.04,23333.14,0.363495,504.69,36.458,1.039576,12.048
chicago_0410,chicago,0.448989,251,154,40,0.539785,0.331183,0.086022,3.3634,42.54,33263.25,0.343784,726.56,51.9738,1.011267,7.291
detroit_0041,detroit,0.483473,144,78,2,0.580645,0.314516,0.008065,3.4677,47.45,20403.14,0.372709,387.5,31.8799,1.007812,15.666
minneapolis_0327,minneapolis,0.44748,30,22,26,0.344828,0.252874,0.298851,2.6437,67.34,7744.37,0.171598,135.94,12.1006,1.005343,11.149
istanbul_1545,istanbul,0.498727,15,17,9,0.3125,0.354167,0.1875,2.7917,98.49,6598.59,0.21978,75.0,10.3103,1.022119,33.565
portland_0369,portland,0.462404,22,91,18,0.157143,0.65,0.128571,2.8571,69.76,13951.15,0.221818,218.75,21.7987,1.02593,6.965
cleveland_0293,cleveland,0.469826,92,81,24,0.412556,0.363229,0.107623,3.0942,48.87,16860.17,0.278912,348.44,26.344,1.00813,3.223
sapporo_0244,sapporo,0.482735,104,142,12,0.345515,0.471761,0.039867,3.1229,45.22,21254.08,0.284757,470.31,33.2095,1.025475,6.067
bangkok_1365,bangkok,0.506268,0,63,49,0.0,0.480916,0.374046,2.1069,57.87,7985.39,0.031128,204.69,12.4772,1.049143,25.234
denver_0042,denver,0.474162,204,199,53,0.425887,0.415449,0.110647,3.1566,33.89,25619.07,0.29171,748.44,40.0298,1.013701,5.88
brasilia_0303,brasilia,0.448391,1,41,7,0.014706,0.602941,0.102941,2.5294,81.04,6969.47,0.145038,106.25,10.8898,1.006769,26.592
houston_1231,houston,0.479617,27,34,15,0.290323,0.365591,0.16129,2.8172,76.57,10031.16,0.21547,145.31,15.6737,1.015695,8.327
phoenix_1068,phoenix,0.503246,226,147,24,0.544578,0.354217,0.057831,3.3928,42.6,29990.43,0.351515,648.44,46.8601,1.006524,3.291
saltlakecity_0040,saltlakecity,0.47826,28,37,17,0.318182,0.420455,0.193182,2.8636,69.55,8763.01,0.22807,137.5,13.6922,1.032642,10.737
detroit_0410,detroit,0.479554,40,51,7,0.357143,0.455357,0.0625,3.1071,91.61,15939.89,0.287671,175.0,24.9061,1.016176,11.493
istanbul_0092,istanbul,0.470652,0,41,1,0.0,0.82,0.02,2.8,68.77,4814.15,0.221053,78.12,7.5221,1.010901,78.188
thessaloniki_1808,thessaloniki,0.489426,21,21,7,0.362069,0.362069,0.12069,2.9655,62.14,5344.33,0.261261,90.62,8.3505,1.018432,15.003
tehran_0465,tehran,0.479076,48,39,11,0.444444,0.361111,0.101852,3.1481,84.29,14329.14,0.298578,168.75,22.3893,1.020379,5.539
brasilia_0415,brasilia,0.487115,3,64,10,0.029703,0.633663,0.09901,2.5941,82.95,10866.88,0.15736,157.81,16.9795,1.011305,23.724
brasilia_0781,brasilia,0.495132,13,22,8,0.254902,0.431373,0.156863,2.7843,85.46,6067.5,0.216495,79.69,9.4805,1.009273,16.126
lasvegas_0201,lasvegas,0.492148,10,34,30,0.121951,0.414634,0.365854,2.2927,91.23,8575.32,0.081761,128.12,13.3989,1.017721,10.852
minneapolis_0809,minneapolis,0.497196,162,84,49,0.519231,0.269231,0.157051,3.1603,47.7,23516.82,0.294023,487.5,36.745,1.014325,10.937
chennai_0186,chennai,0.503783,13,68,20,0.105691,0.552846,0.162602,2.6016,70.31,11250.39,0.157676,192.19,17.5787,1.033933,8.925
chicago_0492,chicago,0.45144,271,147,19,0.592998,0.321663,0.041575,3.4661,35.54,28149.0,0.369637,714.06,43.9828,1.006759,9.51
cleveland_0080,cleveland,0.481868,59,63,11,0.385621,0.411765,0.071895,3.1111,66.6,15851.1,0.285714,239.06,24.7673,1.084624,9.904
sapporo_0549,sapporo,0.470182,33,87,9,0.212903,0.56129,0.058065,2.929,61.21,13894.31,0.239344,242.19,21.7099,1.0041,5.469
chicago_0299,chicago,0.465621,255,147,37,0.548387,0.316129,0.07957,3.3333,39.56,30658.55,0.336216,726.56,47.904,1.017302,15.957
minneapolis_0652,minneapolis,0.466331,104,99,37,0.416,0.396,0.148,3.08,58.25,22424.86,0.274747,390.62,35.0388,1.003843,7.891
houston_0553,houston,0.503734,31,73,2,0.234848,0.55303,0.015152,3.0303,37.08,7415.22,0.266409,206.25,11.5863,1.044776,9.484
portland_0415,portland,0.480449,22,77,17,0.169231,0.592308,0.130769,2.8,65.16,11859.95,0.207843,203.12,18.5312,1.013813,7.001
detroit_0114,detroit,0.506378,89,51,37,0.46114,0.264249,0.19171,2.9948,46.93,13563.41,0.254593,301.56,21.1928,1.018066,13.89
chicago_0163,chicago,0.471016,129,81,42,0.490494,0.307985,0.159696,3.1407,49.79,20563.22,0.289827,410.94,32.13,1.020205,11.02
houston_0744,houston,0.49273,270,159,34,0.568421,0.334737,0.071579,3.4063,36.64,29638.37,0.354497,742.19,46.31,1.01731,2.742
sapporo_0403,sapporo,0.506354,160,135,11,0.462428,0.390173,0.031792,3.2832,43.75,24850.44,0.3246,540.62,38.8288,1.043626,3.923
quito_1039,quito,0.487028,1,35,25,0.012821,0.448718,0.320513,2.1538,79.68,6693.35,0.046358,121.87,10.4584,1.012655,20.932
chicago_0337,chicago,0.450409,189,84,14,0.623762,0.277228,0.046205,3.4785,43.36,22848.77,0.374376,473.44,35.7012,1.010598,20.799
chicago_0313,chicago,0.484551,273,111,31,0.630485,0.256351,0.071594,3.4457,38.9,29015.87,0.364692,676.56,45.3373,1.004616,8.02
vancouver_0105,vancouver,0.458329,109,133,33,0.357377,0.436066,0.108197,3.0426,47.53,22052.46,0.264463,476.56,34.457,1.000143,3.14
chicago_0677,chicago,0.484891,205,153,24,0.504926,0.376847,0.059113,3.335,38.53,26084.81,0.337051,634.37,40.7575,1.018032,18.928
houston_0538,houston,0.446874,30,27,13,0.375,0.3375,0.1625,2.925,91.05,10653.27,0.245161,125.0,16.6457,1.00138,7.317
chicago_0627,chicago,0.486362,240,235,16,0.469667,0.459883,0.031311,3.3738,32.94,28391.51,0.346116,798.44,44.3617,1.031468,21.38
laplata_0013,laplata,0.457821,22,13,3,0.415094,0.245283,0.056604,3.0189,101.52,8121.44,0.277228,82.81,12.6898,1.008121,2.268
detroit_0022,detroit,0.502319,69,31,7,0.610619,0.274336,0.061947,3.4336,46.6,9039.67,0.371041,176.56,14.1245,1.007168,14.559
portland_0375,portland,0.492147,18,83,28,0.116883,0.538961,0.181818,2.6104,61.92,12446.17,0.158416,240.62,19.4471,1.039656,5.322
brasilia_1849,brasilia,0.46755,2,27,5,0.035714,0.482143,0.089286,2.4643,81.61,5631.18,0.130841,87.5,8.7987,1.018465,18.183
cleveland_0194,cleveland,0.505247,579,402,420,0.407173,0.2827,0.295359,2.8017,17.81,35473.12,0.201127,2221.87,55.4268,1.022477,9.411
quito_0132,quito,0.501822,96,128,18,0.351648,0.468864,0.065934,3.1062,46.87,19874.0,0.280961,426.56,31.0531,1.001689,10.38
chicago_0438,chicago,0.445491,292,109,6,0.685446,0.255869,0.014085,3.6244,38.4,29645.49,0.409681,665.62,46.3211,1.006493,13.488
bengaluru_0487,bengaluru,0.476214,48,53,16,0.355556,0.392593,0.118519,3.0074,64.54,13101.0,0.260377,210.94,20.4703,1.03467,6.514
portland_0208,portland,0.482083,22,53,7,0.236559,0.569892,0.075269,2.9677,74.61,10296.65,0.254144,145.31,16.0885,1.004179,5.216
detroit_0054,detroit,0.461406,114,124,16,0.423792,0.460967,0.05948,3.2491,47.07,20568.87,0.317073,420.31,32.1389,1.002698,13.255
houston_0703,houston,0.480903,335,217,38,0.54918,0.355738,0.062295,3.4033,31.58,32778.83,0.353086,953.12,51.2169,1.012392,3.319
portland_0360,portland,0.492764,4,39,13,0.055556,0.541667,0.180556,2.4722,83.5,7431.81,0.129496,112.5,11.6122,1.019317,5.712
detroit_0199,detroit,0.479776,37,65,13,0.284615,0.5,0.1,2.9692,58.43,11277.44,0.25098,203.12,17.621,1.005132,10.507
chicago_0455,chicago,0.48659,126,114,73,0.380665,0.344411,0.220544,2.9245,46.38,22447.77,0.234399,517.19,35.0746,1.031966,5.2
toronto_0634,toronto,0.504347,27,36,50,0.221311,0.295082,0.409836,2.3279,70.3,9982.8,0.087866,190.62,15.5981,1.150001,12.781
chicago_0543,chicago,0.465194,307,170,25,0.575985,0.318949,0.046904,3.4296,35.1,32083.27,0.360038,832.81,50.1301,1.016003,8.443
chicago_0586,chicago,0.499665,193,139,15,0.536111,0.386111,0.041667,3.4333,39.89,24650.67,0.362238,562.5,38.5167,1.018767,13.562
vancouver_0128,vancouver,0.505404,68,112,49,0.268775,0.442688,0.193676,2.7984,55.07,19494.89,0.203593,395.31,30.4608,1.003447,5.122
brasilia_0977,brasilia,0.461603,17,154,16,0.075893,0.6875,0.071429,2.7946,55.26,17296.82,0.20316,350.0,27.0263,1.015124,26.151
hanoi_0180,hanoi,0.446182,58,46,20,0.42963,0.340741,0.148148,3.0519,40.45,8333.3,0.271698,210.94,13.0208,1.02101,55.316
orlando_0291,orlando,0.518646,8,72,12,0.081633,0.734694,0.122449,2.7755,60.73,8258.75,0.204188,153.12,12.9043,1.074005,9.797
detroit_0197,detroit,0.530425,240,117,7,0.629921,0.307087,0.018373,3.5486,40.19,27170.2,0.391017,595.31,42.4534,1.010769,10.096
portland_0336,portland,0.543158,35,81,39,0.195531,0.452514,0.217877,2.6257,54.12,12719.17,0.161473,279.69,19.8737,1.011198,3.935
phoenix_0238,phoenix,0.559272,32,43,36,0.246154,0.330769,0.276923,2.5692,62.6,10454.45,0.14902,203.12,16.3351,1.087202,9.809
phoenix_0385,phoenix,0.529431,1,24,15,0.021277,0.510638,0.319149,2.2979,82.86,4474.52,0.089888,73.44,6.9914,1.094954,9.407
cairo_1341,cairo,0.543524,6,77,7,0.056604,0.726415,0.066038,2.7736,28.53,4193.66,0.202899,165.62,6.5526,1.012198,36.904
toronto_0035,toronto,0.558669,31,57,47,0.212329,0.390411,0.321918,2.4932,48.63,8850.74,0.12892,228.12,13.8293,1.030373,13.131
houston_1151,houston,0.545666,49,76,24,0.300613,0.466258,0.147239,2.9202,51.65,12293.67,0.23676,254.69,19.2089,1.025199,6.553
miami_0145,miami,0.567555,59,105,33,0.274419,0.488372,0.153488,2.9395,49.33,15588.65,0.24,335.94,24.3573,1.015116,6.781
chicago_0212,chicago,0.541557,124,129,11,0.427586,0.444828,0.037931,3.2621,37.52,17747.43,0.32,453.12,27.7304,1.045814,17.445
phoenix_1409,phoenix,0.557871,87,114,54,0.305263,0.4,0.189474,2.8421,44.85,18165.4,0.214159,445.31,28.3834,1.098062,8.302
lasvegas_1147,lasvegas,0.515951,13,56,22,0.127451,0.54902,0.215686,2.5882,70.85,9352.29,0.155779,159.37,14.6129,1.04639,11.019
cleveland_0331,cleveland,0.51582,37,62,10,0.276119,0.462687,0.074627,2.9403,54.3,10697.05,0.243346,209.37,16.7141,1.008145,4.236
amsterdam_0238,amsterdam,0.56104,22,138,63,0.094828,0.594828,0.271552,2.5259,35.62,10437.05,0.135076,362.5,16.3079,1.037926,6.968
minneapolis_0272,minneapolis,0.561987,82,119,65,0.296029,0.429603,0.234657,2.8087,48.61,18909.02,0.205829,432.81,29.5453,1.017324,8.108
cleveland_0042,cleveland,0.529177,43,70,20,0.292517,0.47619,0.136054,2.966,49.85,10866.91,0.249135,229.69,16.9795,1.029745,10.211
denver_0120,denver,0.544248,19,109,3,0.131034,0.751724,0.02069,3.0345,71.36,15699.34,0.266667,226.56,24.5302,1.025632,4.266
detroit_0330,detroit,0.509279,41,97,7,0.25625,0.60625,0.04375,3.075,59.95,14748.8,0.27619,250.0,23.045,1.017099,10.642
portland_0317,portland,0.533213,35,109,25,0.18617,0.579787,0.132979,2.8191,54.57,14462.37,0.210243,293.75,22.5975,1.010937,2.928
