patch_id,city_code,patch_idx,centroid_lat,centroid_lon,minx_utm,miny_utm,maxx_utm,maxy_utm,crs_utm,n_segments,n_intersections,n_nodes_in_patch,n_components,n_nodes_largest,largest_fraction,entropy_raw,entropy_normalised,entropy_weighted_raw,entropy_weighted_norm,phi,n_edges_used
denver_0177,denver,177,39.72141,-104.983924,500977.82,4396437.36,501777.82,4397237.36,EPSG:32613,1828,564,564,3,562,0.9965,2.085761,0.582043,2.145985,0.598849,0.898659,1666
saltlakecity_0128,saltlakecity,128,40.758592,-111.925206,421505.06,4511970.75,422305.06,4512770.75,EPSG:32612,886,289,289,5,285,0.9862,2.041573,0.569712,1.913276,0.53391,0.911059,804
orlando_0952,orlando,952,28.601805,-81.297898,470474.2,3163506.54,471274.2,3164306.54,EPSG:32617,480,156,156,2,152,0.9744,2.088872,0.582911,2.284849,0.637599,0.897756,386
lasvegas_0312,lasvegas,312,36.117664,-115.234694,658473.93,3998042.16,659273.93,3998842.16,EPSG:32611,372,121,121,5,114,0.9421,2.225391,0.621007,2.356513,0.657598,0.854161,306
lasvegas_0359,lasvegas,359,36.182415,-115.224346,659273.93,4005242.16,660073.93,4006042.16,EPSG:32611,240,78,78,2,77,0.9872,2.243111,0.625952,2.258871,0.63035,0.847936,182
orlando_0703,orlando,703,28.515013,-81.354883,464874.2,3153906.54,465674.2,3154706.54,EPSG:32617,528,166,166,4,161,0.9699,2.200567,0.61408,2.185177,0.609785,0.862662,458
sapporo_0345,sapporo,345,43.146153,141.349178,527993.42,4776704.24,528793.42,4777504.24,EPSG:32654,748,213,213,1,213,1.0,2.101712,0.586494,2.048314,0.571593,0.893984,628
minneapolis_0673,minneapolis,673,45.082096,-93.19032,484621.29,4991687.85,485421.29,4992487.85,EPSG:32615,242,87,87,4,80,0.9195,2.061455,0.57526,2.146248,0.598922,0.90558,208
lasvegas_0794,lasvegas,794,36.079862,-115.120049,668873.93,3994042.16,669673.93,3994842.16,EPSG:32611,870,280,280,4,276,0.9857,2.111335,0.589179,2.220754,0.619713,0.891113,814
cleveland_0087,cleveland,87,41.494517,-81.787013,433907.88,4593554.41,434707.88,4594354.41,EPSG:32617,490,150,150,1,150,1.0,2.148325,0.599502,2.080747,0.580643,0.879719,412
denver_0273,denver,273,39.692562,-104.937278,504977.82,4393237.36,505777.82,4394037.36,EPSG:32613,1454,484,484,5,480,0.9917,2.252873,0.628676,2.383849,0.665226,0.844451,1342
bangkok_1044,bangkok,1044,13.674888,100.597992,672428.23,1511940.91,673228.23,1512740.91,EPSG:32647,274,104,104,4,99,0.9519,2.214489,0.617965,2.222575,0.620221,0.857925,220
cleveland_0046,cleveland,46,41.415126,-81.805199,432307.88,4584754.41,433107.88,4585554.41,EPSG:32617,870,277,277,2,276,0.9964,2.226194,0.621231,2.356393,0.657564,0.853881,784
denver_0150,denver,150,39.786285,-105.002595,499377.82,4403637.36,500177.82,4404437.36,EPSG:32613,958,294,294,6,280,0.9524,2.14767,0.599319,2.361438,0.658972,0.879926,828
lasvegas_0747,lasvegas,747,36.260357,-115.13354,667273.93,4014042.16,668073.93,4014842.16,EPSG:32611,494,171,171,8,141,0.8246,2.097955,0.585445,2.185254,0.609807,0.895095,368
phoenix_0163,phoenix,163,33.494751,-112.203737,387780.48,3706385.52,388580.48,3707185.52,EPSG:32612,782,256,256,12,239,0.9336,2.145716,0.598773,2.306942,0.643764,0.880541,694
chicago_0417,chicago,417,41.964406,-87.69622,441908.44,4645658.65,442708.44,4646458.65,EPSG:32616,1690,481,481,3,467,0.9709,2.039709,0.569192,1.954006,0.545276,0.911564,1494
phoenix_1076,phoenix,1076,33.532159,-112.057795,401380.48,3710385.52,402180.48,3711185.52,EPSG:32612,734,244,244,6,239,0.9795,2.036609,0.568327,2.110025,0.588814,0.912401,638
phoenix_0943,phoenix,943,33.394935,-112.073333,399780.48,3695185.52,400580.48,3695985.52,EPSG:32612,1496,443,443,2,442,0.9977,2.146095,0.598879,2.302472,0.642517,0.880422,1376
houston_0720,houston,720,29.86231,-95.396895,268072.3,3305540.6,268872.3,3306340.6,EPSG:32615,362,112,112,2,111,0.9911,2.16524,0.604222,2.210104,0.616741,0.87432,306
denver_0143,denver,143,39.735828,-105.002593,499377.82,4398037.36,500177.82,4398837.36,EPSG:32613,2286,868,868,5,862,0.9931,2.132877,0.595191,2.273054,0.634308,0.884547,2144
chicago_0564,chicago,564,41.957373,-87.667184,444308.44,4644858.65,445108.44,4645658.65,EPSG:32616,1506,407,407,1,407,1.0,2.034401,0.56771,1.925075,0.537202,0.912995,1364
saltlakecity_0142,saltlakecity,142,40.758668,-111.915729,422305.06,4511970.75,423105.06,4512770.75,EPSG:32612,636,228,228,4,225,0.9868,2.137644,0.596521,1.986045,0.554216,0.883067,564
buenosaires_0083,buenosaires,83,-34.65801,-58.484217,363596.27,6163479.36,364396.27,6164279.36,EPSG:32721,336,83,83,1,83,1.0,2.248257,0.627388,1.795755,0.501115,0.846104,258
phoenix_0161,phoenix,161,33.480322,-112.203537,387780.48,3704785.52,388580.48,3705585.52,EPSG:32612,644,212,212,2,211,0.9953,2.194998,0.612526,2.494113,0.695995,0.864534,598
vancouver_0137,vancouver,137,49.283265,-123.086488,493309.99,5458549.41,494109.99,5459349.41,EPSG:32610,974,324,324,2,271,0.8364,2.171152,0.605872,2.014623,0.562191,0.872405,754
bengaluru_0969,bengaluru,969,13.033147,77.67872,790141.21,1441933.77,790941.21,1442733.77,EPSG:32643,512,185,185,12,166,0.8973,2.155282,0.601443,2.40748,0.67182,0.877513,382
houston_1360,houston,1360,29.828579,-95.263657,280872.3,3301540.6,281672.3,3302340.6,EPSG:32615,236,76,76,1,76,1.0,2.16685,0.604671,2.216631,0.618563,0.8738,204
lasvegas_0303,lasvegas,303,36.052781,-115.236144,658473.93,3990842.16,659273.93,3991642.16,EPSG:32611,370,131,131,3,126,0.9618,2.144233,0.59836,1.937607,0.5407,0.881008,316
phoenix_0578,phoenix,578,33.538765,-112.126803,394980.48,3711185.52,395780.48,3711985.52,EPSG:32612,982,277,277,2,276,0.9964,2.220027,0.61951,2.40733,0.671778,0.856019,818
sapporo_0329,sapporo,329,43.030892,141.348524,527993.42,4763904.24,528793.42,4764704.24,EPSG:32654,1422,411,411,2,410,0.9976,2.232227,0.622915,2.131471,0.594798,0.851775,1304
quito_0243,quito,243,-0.331821,-78.531805,774329.29,9962889.57,775129.29,9963689.57,EPSG:32717,676,186,186,1,186,1.0,2.147584,0.599295,2.165195,0.604209,0.879953,556
denver_0278,denver,278,39.728603,-104.937246,504977.82,4397237.36,505777.82,4398037.36,EPSG:32613,1196,380,380,1,380,1.0,2.233798,0.623353,2.007717,0.560264,0.851223,1096
cleveland_0501,cleveland,501,41.560616,-81.576747,451507.88,4600754.41,452307.88,4601554.41,EPSG:32617,638,175,175,7,163,0.9314,2.160681,0.60295,1.971691,0.550211,0.875787,518
kyoto_0306,kyoto,306,35.014395,135.730978,566291.91,3874483.52,567091.91,3875283.52,EPSG:32653,1170,357,357,3,355,0.9944,2.106864,0.587932,2.12861,0.594,0.892452,1050
detroit_0417,detroit,417,42.318604,-83.088994,327456.5,4686864.74,328256.5,4687664.74,EPSG:32617,1432,385,385,2,384,0.9974,2.182722,0.6091,2.035445,0.568002,0.868616,1246
lasvegas_0587,lasvegas,587,36.18882,-115.170824,664073.93,4006042.16,664873.93,4006842.16,EPSG:32611,306,98,98,6,91,0.9286,2.096259,0.584972,2.173273,0.606463,0.895594,220
houston_0236,houston,236,29.882108,-95.496741,258472.3,3307940.6,259272.3,3308740.6,EPSG:32615,186,61,61,2,56,0.918,2.194127,0.612283,2.219191,0.619277,0.864826,144
bangkok_0970,bangkok,970,13.732831,100.583589,670828.23,1518340.91,671628.23,1519140.91,EPSG:32647,448,172,172,16,156,0.907,2.184275,0.609533,2.386595,0.665992,0.868103,368
houston_1033,houston,1033,29.77693,-95.328676,274472.3,3295940.6,275272.3,3296740.6,EPSG:32615,550,179,179,8,172,0.9609,2.101198,0.58635,2.013013,0.561742,0.894137,450
chandigarh_0035,chandigarh,35,30.759411,76.744215,666542.34,3403838.99,667342.34,3404638.99,EPSG:32643,164,51,51,6,46,0.902,2.091504,0.583645,2.340312,0.653077,0.896988,122
chandigarh_0113,chandigarh,113,30.701005,76.793276,671342.34,3397438.99,672142.34,3398238.99,EPSG:32643,184,54,54,1,54,1.0,2.182774,0.609115,1.965651,0.548525,0.868598,124
phoenix_0562,phoenix,562,33.423336,-112.12531,394980.48,3698385.52,395780.48,3699185.52,EPSG:32612,284,84,84,4,74,0.881,2.183458,0.609306,2.370011,0.661364,0.868373,194
houston_0541,houston,541,29.739077,-95.427034,264872.3,3291940.6,265672.3,3292740.6,EPSG:32615,718,236,236,4,233,0.9873,2.186255,0.610086,2.151789,0.600468,0.867448,624
houston_0878,houston,878,29.826839,-95.36294,271272.3,3301540.6,272072.3,3302340.6,EPSG:32615,394,119,119,3,117,0.9832,2.092406,0.583897,2.021245,0.564039,0.896724,340
seattle_0115,seattle,115,47.688844,-122.366296,547154.92,5281511.91,547954.92,5282311.91,EPSG:32610,1046,339,339,2,338,0.9971,2.178047,0.607796,1.60968,0.44919,0.870153,930
toronto_0250,toronto,250,43.733313,-79.464986,623218.93,4842998.1,624018.93,4843798.1,EPSG:32617,960,296,296,9,271,0.9155,2.118535,0.591188,2.007612,0.560235,0.88894,798
bangkok_1064,bangkok,1064,13.819506,100.598973,672428.23,1527940.91,673228.23,1528740.91,EPSG:32647,430,169,169,5,165,0.9763,2.060608,0.575024,2.017206,0.562912,0.905816,356
orlando_0081,orlando,81,28.586759,-81.502383,450474.2,3161906.54,451274.2,3162706.54,EPSG:32617,106,41,41,6,34,0.8293,2.142929,0.597996,2.069883,0.577612,0.881417,74
bogota_0375,bogota,375,4.602792,-74.096653,599801.98,508421.2,600601.98,509221.2,EPSG:32618,1360,372,372,2,371,0.9973,2.231251,0.622642,2.141797,0.59768,0.852117,1178
lasvegas_0907,lasvegas,907,36.122693,-115.092362,671273.93,3998842.16,672073.93,3999642.16,EPSG:32611,288,89,89,3,87,0.9775,2.149263,0.599763,2.198271,0.613439,0.879423,220
orlando_0254,orlando,254,28.594125,-81.46151,454474.2,3162706.54,455274.2,3163506.54,EPSG:32617,414,120,120,1,120,1.0,2.145539,0.598724,2.209761,0.616646,0.880597,328
miami_0156,miami,156,25.806424,-80.186669,581130.94,2854098.73,581930.94,2854898.73,EPSG:32617,1100,366,366,3,356,0.9727,2.245647,0.62666,2.097266,0.585253,0.847034,990
vancouver_0090,vancouver,90,49.225667,-123.119349,490909.99,5452149.41,491709.99,5452949.41,EPSG:32610,614,198,198,2,197,0.9949,2.079243,0.580224,1.928572,0.538178,0.900539,524
detroit_0763,detroit,763,42.451431,-82.908567,342656.5,4701264.74,343456.5,4702064.74,EPSG:32617,476,144,144,6,138,0.9583,2.094746,0.58455,2.132612,0.595117,0.896039,372
cleveland_0159,cleveland,159,41.487629,-81.739014,437907.88,4592754.41,438707.88,4593554.41,EPSG:32617,916,281,281,8,239,0.8505,2.041233,0.569617,2.402159,0.670335,0.911151,738
lasvegas_0821,lasvegas,821,36.274495,-115.115392,668873.93,4015642.16,669673.93,4016442.16,EPSG:32611,452,144,144,5,130,0.9028,2.17392,0.606644,2.088621,0.582841,0.871504,364
cairo_1582,cairo,1582,30.042,31.66555,370943.78,3323789.41,371743.78,3324589.41,EPSG:32636,248,75,75,2,72,0.96,2.189623,0.611026,2.153242,0.600874,0.866329,214
chicago_0350,chicago,350,41.813043,-87.70421,441108.44,4628858.65,441908.44,4629658.65,EPSG:32616,2006,546,546,1,546,1.0,2.184175,0.609506,2.07162,0.578097,0.868136,1846
phoenix_0076,phoenix,76,33.494325,-112.246788,383780.48,3706385.52,384580.48,3707185.52,EPSG:32612,256,83,83,1,83,1.0,2.184734,0.609662,2.183509,0.60932,0.867951,212
lasvegas_0807,lasvegas,807,36.173575,-115.117812,668873.93,4004442.16,669673.93,4005242.16,EPSG:32611,918,292,292,3,290,0.9932,2.148161,0.599456,2.242098,0.625669,0.879771,832
portland_0333,portland,333,45.486789,-122.626888,528756.84,5036696.47,529556.84,5037496.47,EPSG:32610,462,144,144,6,139,0.9653,2.175075,0.606966,2.157457,0.60205,0.871127,384
sapporo_0616,sapporo,616,43.081015,141.437259,535193.42,4769504.24,535993.42,4770304.24,EPSG:32654,160,45,45,1,45,1.0,2.056385,0.573845,2.045424,0.570786,0.906992,122
adelaide_0651,adelaide,651,-34.994048,138.569702,277792.29,6124518.26,278592.29,6125318.26,EPSG:32754,558,157,157,1,157,1.0,2.25214,0.628472,2.220394,0.619613,0.844714,482
cleveland_0439,cleveland,439,41.466846,-81.595076,449907.88,4590354.41,450707.88,4591154.41,EPSG:32617,940,252,252,2,251,0.996,2.244759,0.626412,1.754312,0.48955,0.84735,820
denver_0185,denver,185,39.779076,-104.98391,500977.82,4402837.36,501777.82,4403637.36,EPSG:32613,1684,478,478,2,477,0.9979,2.04871,0.571704,1.913495,0.533971,0.909111,1558
vancouver_0139,vancouver,139,49.218507,-123.075389,494109.99,5451349.41,494909.99,5452149.41,EPSG:32610,1076,340,340,2,338,0.9941,2.225889,0.621146,2.108212,0.588308,0.853988,946
saltlakecity_0031,saltlakecity,31,40.736176,-112.019639,413505.06,4509570.75,414305.06,4510370.75,EPSG:32612,244,80,80,3,78,0.975,2.086007,0.582111,2.258037,0.630117,0.898588,214
chicago_0326,chicago,326,41.942673,-87.715286,440308.44,4643258.65,441108.44,4644058.65,EPSG:32616,1026,315,315,6,310,0.9841,2.207804,0.616099,2.491217,0.695187,0.86021,908
phoenix_1002,phoenix,1002,33.409438,-112.064908,400580.48,3696785.52,401380.48,3697585.52,EPSG:32612,766,245,245,7,235,0.9592,2.188515,0.610717,2.028064,0.565942,0.866697,632
cairo_0439,cairo,439,29.836251,31.345387,339743.78,3301389.41,340543.78,3302189.41,EPSG:32636,1276,427,427,4,421,0.9859,2.168251,0.605062,2.16413,0.603912,0.873347,1162
tashkent_0428,tashkent,428,41.378058,69.290557,523896.16,4580367.22,524696.16,4581167.22,EPSG:32642,414,131,131,8,122,0.9313,2.144951,0.59856,2.154948,0.60135,0.880782,306
