patch_id,city_code,n_buildings,building_density,mean_building_footprint,std_building_footprint,mean_nn_distance,std_nn_distance
adelaide_0585,adelaide,727,0.239,210.44,165.15,17.04,7.38
adelaide_0124,adelaide,672,0.2171,206.73,228.1,12.59,5.63
adelaide_1285,adelaide,1,0.0003,197.55,0.0,,
adelaide_1376,adelaide,242,0.1049,277.52,133.51,28.64,13.45
adelaide_1533,adelaide,31,0.0148,306.16,117.96,33.25,39.37
amsterdam_0238,amsterdam,1054,0.1972,119.76,351.4,7.2,7.09
amsterdam_0114,amsterdam,383,0.2045,341.77,1648.53,16.2,20.16
amsterdam_0036,amsterdam,1128,0.2334,132.41,629.52,7.34,10.22
amsterdam_0018,amsterdam,85,0.1023,770.03,3521.64,26.65,26.37
amsterdam_0155,amsterdam,2723,0.1981,46.57,115.68,5.66,5.27
amsterdam_0164,amsterdam,1016,0.3215,202.52,613.83,11.4,10.05
amsterdam_0103,amsterdam,1505,0.2317,98.51,116.26,8.11,4.67
amsterdam_0120,amsterdam,2220,0.3734,107.64,186.11,7.83,5.21
amsterdam_0156,amsterdam,1761,0.1355,49.25,74.88,6.81,4.6
amsterdam_0167,amsterdam,2509,0.2378,60.66,209.82,5.67,6.05
bangkok_0857,bangkok,0,0.0,,,,
bangkok_1326,bangkok,2,0.0101,3216.18,1839.92,161.19,0.0
bangkok_1365,bangkok,15,0.0095,407.23,397.6,45.64,71.6
bangkok_1515,bangkok,20,0.026,830.99,656.2,59.47,156.8
bangkok_2262,bangkok,0,0.0,,,,
bangkok_1415,bangkok,0,0.0,,,,
bangkok_1967,bangkok,0,0.0,,,,
bangkok_1658,bangkok,150,0.0147,62.73,27.82,8.43,35.98
bangkok_0889,bangkok,0,0.0,,,,
bangkok_0858,bangkok,132,0.131,635.21,412.85,26.71,17.3
bangkok_2352,bangkok,1,0.0101,6479.74,0.0,,
bangkok_1044,bangkok,6,0.035,3730.52,2839.93,241.88,102.74
bangkok_0970,bangkok,551,0.3243,376.74,456.17,21.1,9.96
bangkok_1064,bangkok,170,0.0732,275.74,258.41,18.93,26.38
bangkok_1715,bangkok,0,0.0,,,,
bangkok_0011,bangkok,16,0.0069,277.4,412.49,46.59,62.66
bangkok_1023,bangkok,188,0.0767,261.2,372.54,17.58,9.23
bangkok_1707,bangkok,33,0.0121,234.96,217.36,24.28,7.65
bangkok_1486,bangkok,5,0.006,773.15,702.04,289.74,215.06
bangkok_0705,bangkok,0,0.0,,,,
bangkok_0754,bangkok,0,0.0,,,,
bangkok_2346,bangkok,0,0.0,,,,
bangkok_1890,bangkok,1,0.012,7685.51,0.0,,
bangkok_1705,bangkok,45,0.0292,415.4,459.08,25.54,21.3
bangkok_0524,bangkok,43,0.0087,128.84,49.04,15.22,2.53
bangkok_0901,bangkok,231,0.2235,619.24,1356.94,24.54,24.46
bangkok_0440,bangkok,967,0.2409,159.41,132.27,12.74,5.97
bangkok_1299,bangkok,16,0.0318,1272.32,799.95,40.46,20.7
bangkok_1811,bangkok,0,0.0,,,,
bangkok_0815,bangkok,332,0.2934,565.53,1242.4,18.13,19.54
bangkok_1732,bangkok,43,0.0101,149.95,125.11,18.87,10.25
bangkok_0016,bangkok,0,0.0,,,,
bangkok_2204,bangkok,58,0.0126,139.38,173.63,13.59,8.28
bangkok_0114,bangkok,564,0.0965,109.52,513.66,9.48,11.79
bangkok_1101,bangkok,0,0.0,,,,
bangkok_0910,bangkok,233,0.1025,281.6,448.33,20.87,17.38
bangkok_0152,bangkok,138,0.0213,98.89,18.08,12.09,1.11
