patch_id,city_code,distance_to_center_km
chicago_0731,chicago,10.098
chicago_0500,chicago,4.763
chicago_0419,chicago,12.929
chicago_0424,chicago,16.593
chicago_0672,chicago,22.924
chicago_0406,chicago,5.984
chicago_0898,chicago,12.539
chicago_0764,chicago,17.304
chicago_0909,chicago,18.864
chicago_0369,chicago,10.664
chicago_0229,chicago,9.172
chicago_0732,chicago,9.297
chicago_0398,chicago,7.911
chicago_0436,chicago,14.982
chicago_0688,chicago,10.151
chicago_0630,chicago,18.99
chicago_0389,chicago,13.809
chicago_0718,chicago,20.499
chicago_0929,chicago,16.848
chicago_0516,chicago,11.537
chicago_0336,chicago,21.558
chicago_0569,chicago,13.568
chicago_0221,chicago,11.901
chicago_0358,chicago,6.698
chicago_0143,chicago,13.721
chicago_0442,chicago,10.591
chicago_0629,chicago,19.787
chicago_0189,chicago,12.048
chicago_0410,chicago,7.291
chicago_0492,chicago,9.51
chicago_0299,chicago,15.957
chicago_0163,chicago,11.02
chicago_0337,chicago,20.799
chicago_0313,chicago,8.02
chicago_0677,chicago,18.928
chicago_0627,chicago,21.38
chicago_0438,chicago,13.488
chicago_0455,chicago,5.2
chicago_0543,chicago,8.443
chicago_0586,chicago,13.562
chicago_0212,chicago,17.445
chicago_0894,chicago,15.567
chicago_0013,chicago,21.27
chicago_0760,chicago,20.504
chicago_0694,chicago,5.401
chicago_0562,chicago,8.279
chicago_0330,chicago,13.067
chicago_0612,chicago,7.976
chicago_0093,chicago,15.944
chicago_0807,chicago,10.18
chicago_0386,chicago,16.014
chicago_0685,chicago,12.541
chicago_0575,chicago,22.26
chicago_0446,chicago,7.932
chicago_0109,chicago,12.332
chicago_0801,chicago,14.954
chicago_0626,chicago,22.178
chicago_0514,chicago,10.068
chicago_0778,chicago,6.115
chicago_0360,chicago,6.772
chicago_0287,chicago,13.541
chicago_0721,chicago,18.099
chicago_0893,chicago,16.335
chicago_0931,chicago,15.368
chicago_0051,chicago,15.547
chicago_0771,chicago,11.706
chicago_0230,chicago,9.094
chicago_0854,chicago,16.753
chicago_0624,chicago,23.773
chicago_0609,chicago,5.771
chicago_0652,chicago,2.279
chicago_0417,chicago,11.526
chicago_0564,chicago,9.755
chicago_0350,chicago,9.598
chicago_0326,chicago,10.602
chicago_0551,chicago,3.711
chicago_0295,chicago,20.324
chicago_0744,chicago,0.416
chicago_0557,chicago,4.943
chicago_0646,chicago,6.375
chicago_0509,chicago,6.667
chicago_0703,chicago,2.194
chicago_0603,chicago,2.697
chicago_0728,chicago,12.498
chicago_0357,chicago,6.804
chicago_0579,chicago,19.086
chicago_0247,chicago,15.952
chicago_0243,chicago,13.444
chicago_0774,chicago,9.308
chicago_0452,chicago,5.241
chicago_0081,chicago,19.656
chicago_0331,chicago,13.731
chicago_0702,chicago,1.548
chicago_0257,chicago,15.663
chicago_0601,chicago,2.973
chicago_0461,chicago,7.795
chicago_0842,chicago,7.212
chicago_0122,chicago,16.835
chicago_0123,chicago,17.392
chicago_0813,chicago,5.455
cleveland_0462,cleveland,10.072
cleveland_0487,cleveland,10.794
cleveland_0177,cleveland,11.127
cleveland_0186,cleveland,4.307
cleveland_0057,cleveland,9.412
cleveland_0163,cleveland,10.542
cleveland_0176,cleveland,11.912
cleveland_0141,cleveland,6.437
cleveland_0171,cleveland,4.765
cleveland_0391,cleveland,7.997
cleveland_0549,cleveland,11.461
cleveland_0440,cleveland,8.707
cleveland_0438,cleveland,9.363
cleveland_0193,cleveland,10.204
cleveland_0293,cleveland,3.223
cleveland_0080,cleveland,9.904
cleveland_0194,cleveland,9.411
