patch_id,city_code,circuity,total_network_length,total_straight_length,n_edges_in_circuity
chicago_0717,chicago,1.015671,31855.09,31363.59,817
chicago_0802,chicago,1.005549,32914.3,32732.65,939
chicago_0094,chicago,1.00631,24354.24,24201.53,493
chicago_0715,chicago,1.008133,27831.43,27606.9,713
chicago_0408,chicago,1.0152,24000.24,23640.89,492
chicago_0445,chicago,1.006352,19153.3,19032.4,472
chicago_0803,chicago,1.003995,32344.47,32215.77,892
chicago_0065,chicago,1.01229,24696.81,24396.97,656
chicago_0934,chicago,1.010158,21182.9,20969.89,445
chicago_0874,chicago,1.005788,25661.08,25513.4,673
chicago_0301,chicago,1.001357,22826.1,22795.17,523
chicago_0676,chicago,1.005046,24728.72,24604.57,666
chicago_0169,chicago,1.006253,22527.33,22387.35,542
chicago_0234,chicago,1.001404,24253.45,24219.45,434
chicago_0387,chicago,1.008369,23610.12,23414.18,575
chicago_0952,chicago,1.020059,18066.85,17711.57,436
chicago_0678,chicago,1.012308,23624.37,23337.12,543
chicago_0941,chicago,1.009218,24187.55,23966.64,615
chicago_0644,chicago,1.008173,18043.67,17897.39,483
chicago_0647,chicago,1.007533,31959.34,31720.39,888
chicago_0120,chicago,1.00715,31567.05,31342.95,821
chicago_0170,chicago,1.002942,30224.68,30136.01,774
chicago_0591,chicago,1.000725,31355.69,31332.98,800
chicago_0588,chicago,1.003123,31354.56,31256.94,828
chicago_0226,chicago,1.024996,27207.22,26543.74,693
chicago_0902,chicago,1.006788,17102.33,16987.03,410
chicago_0276,chicago,1.018657,18918.92,18572.42,481
chicago_0219,chicago,1.010873,29316.74,29001.4,720
chicago_0370,chicago,1.00394,30861.69,30740.57,913
chicago_0540,chicago,1.010541,32783.47,32441.51,942
chicago_0261,chicago,1.009577,29410.82,29131.82,765
chicago_0217,chicago,1.045284,27000.92,25831.18,751
chicago_0940,chicago,1.006068,28676.04,28503.07,732
chicago_0422,chicago,1.005381,31663.82,31494.37,854
chicago_0546,chicago,1.02322,24851.29,24287.34,601
chicago_0583,chicago,1.008425,34389.65,34102.32,865
chicago_0491,chicago,1.004768,27593.86,27462.91,792
chicago_0758,chicago,1.024369,20722.24,20229.28,571
chicago_0505,chicago,1.00742,21633.31,21473.98,438
chicago_0231,chicago,1.007277,28388.27,28183.19,748
chicago_0535,chicago,1.011002,31816.65,31470.4,888
chicago_0393,chicago,1.004288,30724.87,30593.67,833
chicago_0068,chicago,1.007052,18814.29,18682.55,419
chicago_0260,chicago,1.016071,28210.5,27764.29,832
chicago_0323,chicago,1.007301,31174.29,30948.33,770
chicago_0489,chicago,1.006097,26783.52,26621.22,685
chicago_0674,chicago,1.001176,35195.66,35154.33,1048
chicago_0272,chicago,1.011136,30057.8,29726.77,811
chicago_0102,chicago,1.0106,28371.83,28074.24,843
chicago_0716,chicago,1.002354,28979.93,28911.88,810
chicago_0117,chicago,1.004763,29502.61,29362.75,765
chicago_0913,chicago,1.005961,30512.12,30331.31,775
chicago_0070,chicago,1.002979,25765.81,25689.3,635
chicago_0895,chicago,1.006763,30570.07,30364.71,832
chicago_0328,chicago,1.001231,32644.5,32604.38,759
chicago_0137,chicago,1.00162,23568.1,23529.98,439
chicago_0584,chicago,1.002971,26431.83,26353.52,655
chicago_0119,chicago,1.00926,31959.79,31666.55,744
chicago_0242,chicago,1.019896,19804.36,19418.03,450
chicago_0766,chicago,1.014784,29339.57,28912.13,803
chicago_0628,chicago,1.081468,29124.97,26930.95,800
chicago_0938,chicago,1.023856,17306.89,16903.63,367
chicago_0908,chicago,1.019748,20559.8,20161.65,528
chicago_0412,chicago,1.008609,23809.66,23606.44,557
chicago_0130,chicago,1.028673,17149.87,16671.83,441
chicago_0430,chicago,1.020333,29413.95,28827.79,847
chicago_0188,chicago,1.014874,30575.64,30127.51,906
chicago_0332,chicago,1.020247,29665.99,29077.27,797
chicago_0604,chicago,1.01436,27797.17,27403.65,810
chicago_0539,chicago,1.005187,32059.07,31893.65,895
chicago_0512,chicago,1.007581,29231.28,29011.35,717
chicago_0632,chicago,1.010969,30127.89,29801.0,851
chicago_0692,chicago,1.012767,30674.59,30287.9,918
chicago_0493,chicago,1.011836,26360.83,26052.46,708
chicago_0859,chicago,1.010938,32490.5,32138.95,1027
chicago_0439,chicago,1.007564,25303.14,25113.19,619
chicago_0482,chicago,1.00549,18597.63,18496.09,406
chicago_0364,chicago,1.003701,30742.61,30629.26,772
chicago_0910,chicago,1.10045,21232.76,19294.61,520
chicago_0161,chicago,1.009925,27429.73,27160.15,741
chicago_0855,chicago,1.0243,33334.61,32543.8,1005
chicago_0919,chicago,1.010355,27220.79,26941.81,667
chicago_0110,chicago,1.000863,22542.66,22523.24,444
chicago_0731,chicago,1.049914,17907.64,17056.3,440
chicago_0500,chicago,1.015388,18964.02,18676.63,406
chicago_0419,chicago,1.010002,30943.96,30637.53,876
chicago_0424,chicago,1.016405,29058.41,28589.4,882
chicago_0672,chicago,1.006023,28587.0,28415.86,734
chicago_0406,chicago,1.009774,18670.24,18489.53,493
chicago_0898,chicago,1.013325,22494.64,22198.83,597
chicago_0764,chicago,1.007255,26212.69,26023.89,724
chicago_0909,chicago,1.058906,16054.64,15161.54,387
chicago_0369,chicago,1.006555,26788.78,26614.31,574
chicago_0229,chicago,1.009663,24224.18,23992.34,600
chicago_0732,chicago,1.014736,26155.9,25776.06,729
chicago_0398,chicago,1.019956,22855.72,22408.53,582
chicago_0436,chicago,1.010696,29667.06,29353.11,907
chicago_0688,chicago,1.005666,26760.4,26609.63,654
chicago_0630,chicago,1.019917,31334.16,30722.26,919
chicago_0389,chicago,1.039394,30528.15,29371.12,690
chicago_0718,chicago,1.015428,34639.14,34112.85,1005
chicago_0929,chicago,1.022172,24346.89,23818.79,580
chicago_0516,chicago,1.041278,27462.05,26373.41,733
chicago_0336,chicago,1.017577,26501.48,26043.72,712
chicago_0569,chicago,1.017642,30249.85,29725.45,775
chicago_0221,chicago,1.010553,25532.56,25265.93,678
chicago_0358,chicago,1.005093,19134.15,19037.19,451
chicago_0143,chicago,1.008257,31386.08,31129.05,902
chicago_0442,chicago,1.016752,28689.69,28217.01,715
chicago_0629,chicago,1.045551,23833.44,22795.09,643
chicago_0189,chicago,1.039576,23333.14,22444.86,555
chicago_0410,chicago,1.011267,33263.25,32892.65,782
chicago_0492,chicago,1.006759,28149.0,27960.02,792
chicago_0299,chicago,1.017302,30658.55,30137.11,775
chicago_0163,chicago,1.020205,20321.71,19919.25,411
chicago_0337,chicago,1.010598,22848.77,22609.16,527
