patch_id,city_code,elev_mean,elev_std,elev_range,mean_slope
chicago_0764,chicago,183.88,1.73,6.0,0.801
detroit_0093,detroit,189.24,1.82,8.0,0.857
saltlakecity_0010,saltlakecity,1290.16,1.19,4.0,0.485
sapporo_0558,sapporo,5.88,1.61,7.0,0.723
chicago_0909,chicago,179.36,1.52,5.0,0.619
orlando_0388,orlando,30.32,4.67,14.0,1.637
chicago_0369,chicago,181.68,1.09,4.0,0.5
denver_0064,denver,1626.44,4.22,14.0,1.289
chicago_0229,chicago,186.04,1.0,4.0,0.457
phoenix_0538,phoenix,405.72,1.99,8.0,0.745
chennai_0193,chennai,14.4,1.88,6.0,0.634
detroit_0148,detroit,178.56,1.3,6.0,0.514
cairo_0877,cairo,64.6,5.05,20.0,1.502
chicago_0732,chicago,184.44,2.28,9.0,1.011
chicago_0398,chicago,182.36,1.83,9.0,0.767
detroit_0127,detroit,186.68,1.64,7.0,0.605
minneapolis_0297,minneapolis,260.68,4.48,15.0,1.523
brasilia_0732,brasilia,1192.72,12.85,51.0,3.685
phoenix_0626,phoenix,324.16,2.88,11.0,1.334
houston_0963,houston,23.64,1.52,6.0,0.76
chandigarh_0018,chandigarh,321.8,2.65,9.0,1.14
thessaloniki_0636,thessaloniki,41.56,9.62,36.0,2.62
detroit_0317,detroit,181.32,1.16,5.0,0.532
sapporo_0311,sapporo,4.32,2.15,10.0,1.052
cairo_1342,cairo,185.84,7.17,27.0,2.297
detroit_0422,detroit,192.08,2.17,9.0,0.878
houston_0250,houston,23.6,1.41,5.0,0.672
orlando_0491,orlando,31.24,7.12,22.0,2.439
detroit_0102,detroit,205.0,2.21,7.0,0.918
cleveland_0549,cleveland,291.28,5.42,22.0,1.466
chicago_0436,chicago,189.04,2.24,8.0,0.68
orlando_0605,orlando,37.96,3.35,15.0,1.521
cleveland_0440,cleveland,276.56,2.77,11.0,0.848
chicago_0688,chicago,184.16,1.97,9.0,0.801
portland_0188,portland,38.36,6.35,24.0,1.803
brasilia_0576,brasilia,1220.28,7.53,35.0,1.93
chicago_0630,chicago,188.44,2.14,10.0,0.754
lasvegas_0379,lasvegas,736.8,4.4,19.0,1.16
detroit_0060,detroit,194.12,2.14,8.0,0.859
portland_0411,portland,74.0,2.9,11.0,0.97
chicago_0389,chicago,187.04,2.14,11.0,0.88
laplata_0035,laplata,21.92,2.5,11.0,0.857
detroit_0358,detroit,198.64,2.0,7.0,0.767
houston_0709,houston,22.48,2.95,13.0,1.276
phoenix_0202,phoenix,309.48,2.84,11.0,1.222
cairo_0196,cairo,17.72,4.1,12.0,1.166
phoenix_0823,phoenix,321.4,6.06,33.0,2.127
buenosaires_0028,buenosaires,25.56,2.4,10.0,0.797
detroit_0213,detroit,177.56,1.75,8.0,0.7
phoenix_1766,phoenix,428.64,2.36,9.0,0.753
chicago_0718,chicago,186.84,1.49,6.0,0.704
houston_0669,houston,23.4,1.39,5.0,0.669
manhattan_0044,manhattan,31.56,19.57,92.0,7.837
