patch_id,city_code,n_blocks,mean_block_area,std_block_area,cv_block_area,mean_block_eri,mean_block_compact,mean_block_elong,mean_block_convex
istanbul_0568,istanbul,2,40449.74,2613.22,0.0646,0.7907,0.2609,0.4412,0.7284
istanbul_2064,istanbul,57,6671.19,4383.52,0.6571,0.9848,0.4575,0.5399,0.9848
istanbul_1504,istanbul,5,9231.85,7999.42,0.8665,0.9849,0.501,0.6194,0.9824
istanbul_2043,istanbul,57,5983.6,3123.92,0.5221,0.9793,0.445,0.5344,0.9801
istanbul_2883,istanbul,3,2376.01,1899.13,0.7993,0.6638,0.0786,0.1361,0.5308
istanbul_1357,istanbul,10,16003.18,17745.82,1.1089,0.8826,0.3375,0.4598,0.8909
istanbul_1425,istanbul,43,8229.87,9144.07,1.1111,0.9703,0.4706,0.5899,0.973
istanbul_1241,istanbul,3,19538.16,3349.43,0.1714,0.9614,0.3176,0.3609,0.9309
istanbul_1351,istanbul,9,9008.57,5045.27,0.5601,0.9703,0.4816,0.6379,0.975
istanbul_1399,istanbul,1,6992.35,0.0,0.0,0.9932,0.5726,0.7519,0.9983
istanbul_2584,istanbul,92,4215.95,4410.83,1.0462,0.9629,0.4477,0.5616,0.9624
istanbul_2306,istanbul,29,10370.42,3990.38,0.3848,0.9784,0.404,0.4643,0.9789
istanbul_0992,istanbul,40,1779.07,1448.47,0.8142,0.9868,0.5152,0.6699,0.985
istanbul_1713,istanbul,9,8946.27,9354.15,1.0456,0.8934,0.2972,0.4391,0.8709
istanbul_1873,istanbul,2,1902.02,914.32,0.4807,0.8336,0.1898,0.3362,0.825
istanbul_2214,istanbul,16,11671.56,6746.35,0.578,0.9707,0.446,0.6228,0.9746
istanbul_1611,istanbul,40,8455.82,9004.1,1.0648,0.9623,0.4371,0.5942,0.9508
istanbul_2694,istanbul,85,4863.61,6248.48,1.2847,0.9621,0.3958,0.4732,0.9648
istanbul_2173,istanbul,31,4323.42,2769.31,0.6405,0.9728,0.4617,0.6043,0.9682
istanbul_0258,istanbul,18,20442.85,12566.32,0.6147,0.9499,0.4398,0.6488,0.9318
istanbul_2626,istanbul,13,4381.92,1815.3,0.4143,0.962,0.3033,0.369,0.9726
istanbul_1686,istanbul,9,10912.13,13122.14,1.2025,0.8315,0.292,0.4404,0.8028
istanbul_1178,istanbul,69,5967.45,4281.43,0.7175,0.9807,0.4868,0.6422,0.9778
istanbul_1583,istanbul,14,7425.44,6678.51,0.8994,0.8805,0.2247,0.3104,0.8292
istanbul_2491,istanbul,30,9213.84,17468.53,1.8959,0.9,0.3765,0.5033,0.8946
istanbul_2378,istanbul,49,5748.07,5971.48,1.0389,0.9199,0.3791,0.4808,0.9082
istanbul_1468,istanbul,37,8504.33,8949.37,1.0523,0.9194,0.4997,0.6779,0.8977
istanbul_3236,istanbul,15,5383.94,5733.27,1.0649,0.9225,0.3584,0.471,0.8977
istanbul_2169,istanbul,62,6273.1,10609.23,1.6912,0.9716,0.4324,0.5302,0.9684
istanbul_2360,istanbul,4,1937.21,691.76,0.3571,0.9977,0.5485,0.6195,0.9969
istanbul_2424,istanbul,37,4574.6,4620.01,1.0099,0.8791,0.3769,0.4861,0.8565
istanbul_2606,istanbul,0,,,,,,,
istanbul_2315,istanbul,7,19072.66,42702.44,2.2389,0.803,0.2852,0.3458,0.7244
istanbul_3185,istanbul,19,6088.08,3558.46,0.5845,0.9104,0.2823,0.3466,0.8733
istanbul_2027,istanbul,81,4686.24,4632.8,0.9886,0.9758,0.3752,0.4266,0.9706
istanbul_2279,istanbul,7,1229.96,781.39,0.6353,0.8119,0.3759,0.4881,0.8073
istanbul_1667,istanbul,24,10038.2,8231.81,0.82,0.9765,0.4309,0.5337,0.9831
istanbul_3212,istanbul,22,9828.44,13153.68,1.3383,0.894,0.3982,0.5776,0.8733
istanbul_2489,istanbul,54,7259.7,14204.55,1.9566,0.9481,0.3953,0.4724,0.9401
istanbul_1882,istanbul,22,9473.21,16331.36,1.724,0.9479,0.3337,0.3861,0.9398
