patch_id,city_code,n_nodes_used,n_edges_used,n_4way,n_3way,n_deadend,proportion_4way,proportion_3way,proportion_deadend,mean_degree,mean_edge_length,total_edge_length,meshedness,intersection_density,street_density
adelaide_0989,adelaide,307,479,92,173,13,0.299674,0.563518,0.042345,3.1205,30.5,14609.76,0.284072,479.69,22.8278
adelaide_0558,adelaide,173,250,44,82,19,0.254335,0.473988,0.109827,2.8902,52.16,13039.64,0.228739,270.31,20.3744
adelaide_0317,adelaide,124,162,15,67,24,0.120968,0.540323,0.193548,2.6129,65.6,10627.08,0.160494,193.75,16.6048
adelaide_1182,adelaide,86,113,17,39,19,0.197674,0.453488,0.22093,2.6279,38.21,4318.06,0.167665,134.37,6.747
adelaide_0238,adelaide,81,96,3,38,24,0.037037,0.469136,0.296296,2.3704,83.31,7998.08,0.101911,126.56,12.497
adelaide_0321,adelaide,281,377,64,120,59,0.227758,0.427046,0.209964,2.6833,47.08,17748.72,0.174147,439.06,27.7324
adelaide_0544,adelaide,128,160,10,74,30,0.078125,0.578125,0.234375,2.5,52.09,8335.14,0.131474,200.0,13.0237
adelaide_0132,adelaide,53,78,13,23,5,0.245283,0.433962,0.09434,2.9434,49.13,3832.31,0.257426,82.81,5.988
adelaide_1351,adelaide,64,76,1,38,16,0.015625,0.59375,0.25,2.375,88.48,6724.85,0.105691,100.0,10.5076
adelaide_0973,adelaide,77,97,6,39,11,0.077922,0.506494,0.142857,2.5195,86.28,8369.1,0.14094,120.31,13.0767
adelaide_1483,adelaide,94,121,9,51,18,0.095745,0.542553,0.191489,2.5745,89.07,10777.91,0.153005,146.87,16.8405
adelaide_0983,adelaide,481,688,117,256,79,0.243243,0.532225,0.164241,2.8607,34.57,23781.17,0.217346,751.56,37.1581
adelaide_1355,adelaide,150,219,33,81,12,0.22,0.54,0.08,2.92,57.69,12634.67,0.237288,234.37,19.7417
adelaide_0620,adelaide,106,138,24,42,26,0.226415,0.396226,0.245283,2.6038,48.73,6725.36,0.15942,165.62,10.5084
adelaide_0812,adelaide,35,39,1,15,9,0.028571,0.428571,0.257143,2.2286,94.32,3678.65,0.076923,54.69,5.7479
adelaide_0897,adelaide,496,699,106,267,85,0.21371,0.538306,0.171371,2.8185,35.84,25051.2,0.206687,775.0,39.1425
adelaide_1106,adelaide,143,184,25,69,37,0.174825,0.482517,0.258741,2.5734,46.4,8538.3,0.149466,223.44,13.3411
adelaide_0297,adelaide,57,64,0,29,15,0.0,0.508772,0.263158,2.2456,90.42,5786.82,0.073394,89.06,9.0419
adelaide_1436,adelaide,118,146,1,73,22,0.008475,0.618644,0.186441,2.4746,65.91,9622.73,0.125541,184.37,15.0355
adelaide_0792,adelaide,71,102,15,40,8,0.211268,0.56338,0.112676,2.8732,41.29,4212.02,0.233577,110.94,6.5813
adelaide_0585,adelaide,106,130,3,61,19,0.028302,0.575472,0.179245,2.4528,73.15,9510.11,0.120773,165.62,14.8595
adelaide_0124,adelaide,432,638,108,238,54,0.25,0.550926,0.125,2.9537,31.76,20263.17,0.240978,675.0,31.6612
adelaide_1285,adelaide,94,126,8,61,16,0.085106,0.648936,0.170213,2.6809,83.23,10487.16,0.180328,146.87,16.3862
adelaide_1376,adelaide,41,46,0,21,11,0.0,0.512195,0.268293,2.2439,133.46,6139.25,0.077922,64.06,9.5926
adelaide_1533,adelaide,139,173,11,79,33,0.079137,0.568345,0.23741,2.4892,52.32,9052.12,0.128205,217.19,14.1439
amsterdam_0238,amsterdam,232,293,22,138,63,0.094828,0.594828,0.271552,2.5259,35.62,10437.05,0.135076,362.5,16.3079
amsterdam_0114,amsterdam,311,414,31,193,49,0.099678,0.620579,0.157556,2.6624,43.9,18172.95,0.168558,485.94,28.3952
amsterdam_0036,amsterdam,451,648,92,260,68,0.203991,0.576497,0.150776,2.8736,35.9,23265.29,0.220736,704.69,36.352
amsterdam_0018,amsterdam,84,103,6,45,19,0.071429,0.535714,0.22619,2.4524,52.38,5395.45,0.122699,131.25,8.4304
amsterdam_0155,amsterdam,363,516,47,253,41,0.129477,0.69697,0.112948,2.843,39.03,20141.39,0.213592,567.19,31.4709
amsterdam_0164,amsterdam,261,341,35,150,63,0.1341,0.574713,0.241379,2.613,39.66,13524.28,0.156673,407.81,21.1317
amsterdam_0103,amsterdam,228,314,52,106,47,0.22807,0.464912,0.20614,2.7544,43.85,13770.27,0.192905,356.25,21.516
amsterdam_0120,amsterdam,281,400,72,130,51,0.256228,0.462633,0.181495,2.847,42.58,17032.42,0.21544,439.06,26.6132
amsterdam_0156,amsterdam,218,276,11,141,47,0.050459,0.646789,0.215596,2.5321,38.86,10726.62,0.136891,340.62,16.7603
amsterdam_0167,amsterdam,416,566,61,251,82,0.146635,0.603365,0.197115,2.7212,32.71,18514.08,0.182588,650.0,28.9282
bangkok_0857,bangkok,104,120,14,40,36,0.134615,0.384615,0.346154,2.3077,84.2,10104.01,0.083744,162.5,15.7875
bangkok_1326,bangkok,161,181,6,75,50,0.037267,0.465839,0.310559,2.2484,45.91,8310.41,0.066246,251.56,12.985
bangkok_1365,bangkok,131,138,0,63,49,0.0,0.480916,0.374046,2.1069,57.87,7985.39,0.031128,204.69,12.4772
bangkok_1515,bangkok,153,171,14,65,57,0.091503,0.424837,0.372549,2.2353,59.43,10162.82,0.063123,239.06,15.8794
bangkok_2262,bangkok,86,100,7,40,26,0.081395,0.465116,0.302326,2.3256,91.73,9173.26,0.08982,134.37,14.3332
bangkok_1415,bangkok,84,116,14,48,12,0.166667,0.571429,0.142857,2.7619,89.15,10341.23,0.202454,131.25,16.1582
bangkok_1967,bangkok,91,99,2,43,31,0.021978,0.472527,0.340659,2.1758,65.31,6465.73,0.050847,142.19,10.1027
bangkok_1658,bangkok,96,109,1,49,28,0.010417,0.510417,0.291667,2.2708,65.1,7095.49,0.074866,150.0,11.0867
bangkok_0889,bangkok,127,147,4,71,39,0.031496,0.559055,0.307087,2.315,65.86,9680.82,0.084337,198.44,15.1263
bangkok_0858,bangkok,190,234,32,87,63,0.168421,0.457895,0.331579,2.4632,56.29,13171.71,0.12,296.87,20.5808
bangkok_2352,bangkok,67,72,0,35,25,0.0,0.522388,0.373134,2.1493,44.54,3206.75,0.046512,104.69,5.0105
bangkok_1044,bangkok,99,116,4,49,32,0.040404,0.494949,0.323232,2.3434,85.39,9905.43,0.093264,154.69,15.4772
