patch_id,city_code,patch_idx,centroid_lat,centroid_lon,minx_utm,miny_utm,maxx_utm,maxy_utm,crs_utm,n_segments,n_intersections,n_nodes_in_patch,n_components,n_nodes_largest,largest_fraction,entropy_raw,entropy_normalised,entropy_weighted_raw,entropy_weighted_norm,phi,n_edges_used,n_nodes_used,n_4way,n_3way,n_deadend,proportion_4way,proportion_3way,proportion_deadend,mean_degree,mean_edge_length,total_edge_length,meshedness,intersection_density,street_density,circuity,n_blocks,mean_block_area,std_block_area,cv_block_area,mean_block_eri,mean_block_compact,mean_block_elong,mean_block_convex,n_buildings,building_density,mean_building_footprint,std_building_footprint,mean_nn_distance,std_nn_distance
chicago_0421,chicago,421,41.993225,-87.696534,441908.44,4648858.65,442708.44,4649658.65,EPSG:32616,1948,488,488,1,488,1.0,1.50666,0.420441,1.42953,0.398918,0.996999,1774,488,341,123,7,0.69877,0.252049,0.014344,3.6352,36.0,31932.32,0.411946,762.5,49.8942,1.008256,21,19984.4,314.45,0.0157,1.0,0.5104,0.5074,0.9999,1477.0,0.3314,143.59,206.7,10.74,3.88
chicago_0577,chicago,577,41.690841,-87.654809,445108.44,4615258.65,445908.44,4616058.65,EPSG:32616,1738,444,444,3,442,0.9955,1.57271,0.438873,1.566604,0.437169,0.992802,1572,442,283,135,12,0.640271,0.30543,0.027149,3.5656,35.57,28025.98,0.394767,690.62,43.7906,1.007808,17,24022.8,14749.5,0.614,0.9995,0.5367,0.5767,0.9989,1118.0,0.1682,96.27,122.62,10.75,5.02
cairo_2111,cairo,2111,30.281698,31.820345,386143.78,3350189.41,386943.78,3350989.41,EPSG:32636,276,108,108,2,107,0.9907,1.499778,0.418521,1.509785,0.421314,0.997332,242,107,6,53,37,0.056075,0.495327,0.345794,2.2617,56.23,6803.45,0.07177,167.19,10.6304,1.012095,0,,,,,,,,11.0,0.0612,3558.66,2603.71,149.39,101.01
portland_0320,portland,320,45.544428,-122.636755,527956.84,5043096.47,528756.84,5043896.47,EPSG:32610,290,78,78,2,77,0.9872,1.553224,0.433435,1.655132,0.461873,0.994228,234,77,24,39,7,0.311688,0.506494,0.090909,3.039,82.15,9611.04,0.275168,120.31,15.0173,1.020081,24,14157.52,1036.31,0.0732,0.9962,0.484,0.4803,0.9918,1424.0,0.2212,99.42,142.69,12.56,4.02
detroit_0267,detroit,267,42.353528,-83.14843,322656.5,4690864.74,323456.5,4691664.74,EPSG:32617,440,118,118,2,117,0.9915,1.50842,0.420933,1.481217,0.413341,0.996911,358,117,40,55,11,0.34188,0.470085,0.094017,3.0598,70.84,12679.47,0.275109,182.81,19.8117,1.010679,18,18593.33,3595.76,0.1934,0.9999,0.4292,0.4008,0.9995,358.0,0.111,198.49,1200.39,15.61,15.79
chicago_0914,chicago,914,41.748991,-87.55918,453108.44,4621658.65,453908.44,4622458.65,EPSG:32616,1806,460,460,2,459,0.9978,1.563899,0.436414,1.48387,0.414082,0.993466,1640,459,301,132,12,0.655773,0.287582,0.026144,3.573,38.34,31438.5,0.396495,717.19,49.1227,1.001866,19,22534.56,6200.65,0.2752,0.9999,0.4858,0.4737,0.9996,1496.0,0.2501,107.0,113.84,10.7,3.88
portland_0389,portland,389,45.479484,-122.596228,531156.84,5035896.47,531956.84,5036696.47,EPSG:32610,380,99,99,1,99,1.0,1.588152,0.443182,1.458573,0.407023,0.99156,294,99,28,45,5,0.282828,0.454545,0.050505,2.9697,87.38,12844.24,0.253886,154.69,20.0691,1.001438,28,15136.84,5941.69,0.3925,0.9975,0.5317,0.5801,0.9947,1173.0,0.1806,98.53,55.66,13.39,3.26
houston_1423,houston,1423,29.763932,-95.245658,282472.3,3294340.6,283272.3,3295140.6,EPSG:32615,302,73,73,1,73,1.0,1.515576,0.422929,1.435387,0.400552,0.996538,224,73,24,32,2,0.328767,0.438356,0.027397,3.0685,104.29,11679.95,0.283688,114.06,18.2499,1.016653,35,15451.69,2937.71,0.1901,0.9994,0.4743,0.458,0.9994,,,,,,
chicago_0806,chicago,806,41.777568,-87.607559,449108.44,4624858.65,449908.44,4625658.65,EPSG:32616,2046,529,529,1,529,1.0,1.55568,0.434121,1.47944,0.412845,0.994057,1864,529,332,160,18,0.627599,0.302457,0.034026,3.5236,35.29,32892.82,0.383666,826.56,51.395,1.012698,21,21402.27,2855.31,0.1334,0.9994,0.519,0.527,0.9991,1088.0,0.2275,133.83,216.57,10.58,6.03
cleveland_0487,cleveland,487,41.459738,-81.575853,451507.88,4589554.41,452307.88,4590354.41,EPSG:32617,562,136,136,1,136,1.0,1.499587,0.418468,1.352878,0.377528,0.997341,448,136,70,45,9,0.514706,0.330882,0.066176,3.2941,56.0,12545.04,0.333333,212.5,19.6016,1.00165,4,40692.92,4727.68,0.1162,0.9988,0.3288,0.2813,1.0,1.0,0.0042,2679.66,0.0,,
vancouver_0017,vancouver,17,49.239972,-123.185327,486109.99,5453749.41,486909.99,5454549.41,EPSG:32610,776,206,206,2,205,0.9951,1.547487,0.431834,1.461441,0.407823,0.994618,640,205,87,79,23,0.42439,0.385366,0.112195,3.122,51.02,16325.06,0.28642,320.31,25.5079,0.999281,0,,,,,,,,1149.0,0.2006,111.72,61.68,13.64,4.08
cairo_1448,cairo,1448,30.193226,31.630277,367743.78,3340589.41,368543.78,3341389.41,EPSG:32636,198,50,50,3,48,0.96,1.441916,0.402374,1.465197,0.408871,0.999359,156,48,25,10,0,0.520833,0.208333,0.0,3.25,106.36,8296.03,0.340659,75.0,12.9626,1.004771,30,12186.78,228.75,0.0188,0.9999,0.6312,0.9796,0.9999,0.0,0.0,,,,
detroit_0705,detroit,705,42.429175,-82.946791,339456.5,4698864.74,340256.5,4699664.74,EPSG:32617,596,142,142,1,142,1.0,1.436273,0.4008,1.37286,0.383104,0.999483,446,142,60,53,11,0.422535,0.373239,0.077465,3.1408,57.19,12754.38,0.293907,221.87,19.9287,1.000222,2,21975.44,288.31,0.0131,0.9996,0.469,0.4449,0.9987,662.0,0.09,87.02,126.81,13.42,5.63
chicago_0392,chicago,392,41.784282,-87.694268,441908.44,4625658.65,442708.44,4626458.65,EPSG:32616,1210,300,300,1,300,1.0,1.421907,0.396791,1.368816,0.381975,0.999737,1056,300,188,88,8,0.626667,0.293333,0.026667,3.52,46.1,24339.71,0.384874,468.75,38.0308,1.001048,0,,,,,,,,2089.0,0.3412,104.53,79.27,9.53,2.52
brasilia_2000,brasilia,2000,-15.748292,-47.778972,201803.82,8256545.62,202603.82,8257345.62,EPSG:32723,248,68,68,3,66,0.9706,1.412393,0.394136,1.314448,0.366804,0.999859,188,66,12,40,8,0.181818,0.606061,0.121212,2.8485,86.49,8129.97,0.228346,103.12,12.7031,1.011166,28,7719.17,1099.84,0.1425,0.9933,0.2843,0.2435,0.9957,,,,,,
brasilia_2428,brasilia,2428,-15.641682,-47.635846,217003.82,8268545.62,217803.82,8269345.62,EPSG:32723,300,89,89,2,88,0.9888,1.590401,0.44381,1.716189,0.478912,0.991371,244,88,3,64,2,0.034091,0.727273,0.022727,2.7727,83.88,10232.77,0.204678,137.5,15.9887,1.015591,35,9251.04,3407.91,0.3684,0.977,0.3403,0.3373,0.9788,,,,,,
brasilia_0975,brasilia,975,-16.019983,-47.99186,179403.82,8226145.62,180203.82,8226945.62,EPSG:32723,186,54,54,1,54,1.0,1.506322,0.420347,1.521291,0.424524,0.997016,142,54,1,36,2,0.018519,0.666667,0.037037,2.7778,78.26,5869.26,0.213592,84.37,9.1707,1.013634,18,7176.09,5486.78,0.7646,0.9864,0.3014,0.2772,0.9882,,,,,,
chicago_0776,chicago,776,41.806337,-87.617461,448308.44,4628058.65,449108.44,4628858.65,EPSG:32616,1586,435,435,3,433,0.9954,1.56405,0.436457,1.590191,0.443751,0.993455,1434,433,226,153,36,0.52194,0.353349,0.083141,3.321,39.42,28342.15,0.333333,676.56,44.2846,1.01001,13,20151.51,5513.94,0.2736,0.9982,0.4933,0.5044,0.9979,679.0,0.2262,213.25,341.73,13.15,10.73
denver_0129,denver,129,39.771868,-105.011935,498577.82,4402037.36,499377.82,4402837.36,EPSG:32613,2520,666,666,2,665,0.9985,1.503009,0.419423,1.52061,0.424334,0.997178,2318,665,396,215,18,0.595489,0.323308,0.027068,3.4917,30.86,35828.99,0.375094,1039.06,55.9828,1.010231,21,21988.96,15867.63,0.7216,1.0,0.6003,0.7839,0.9999,1605.0,0.2419,96.47,166.05,10.39,4.41
chicago_0587,chicago,587,41.762893,-87.655541,445108.44,4623258.65,445908.44,4624058.65,EPSG:32616,1710,428,428,3,426,0.9953,1.413465,0.394435,1.422428,0.396936,0.999847,1534,426,289,112,8,0.678404,0.262911,0.018779,3.6009,36.7,28148.5,0.403778,665.62,43.982,1.003421,18,20390.95,5567.11,0.273,0.9998,0.5127,0.5426,0.9997,1486.0,0.2115,91.11,114.02,9.89,5.15
bangkok_0857,bangkok,857,13.863178,100.554864,667628.23,1532740.91,668428.23,1533540.91,EPSG:32647,310,107,107,2,104,0.972,1.512447,0.422056,1.478259,0.412516,0.996704,240,104,14,40,36,0.134615,0.384615,0.346154,2.3077,84.2,10104.01,0.083744,162.5,15.7875,1.006932,13,15595.36,5669.18,0.3635,0.9987,0.2855,0.2592,0.9998,0.0,0.0,,,,
chicago_0050,chicago,50,41.91328,-87.801777,433108.44,4640058.65,433908.44,4640858.65,EPSG:32616,1382,355,355,1,355,1.0,1.447957,0.40406,1.490331,0.415885,0.999212,1266,355,228,104,4,0.642254,0.292958,0.011268,3.5662,41.07,25998.96,0.395745,554.69,40.6234,1.016312,14,28697.66,4064.2,0.1416,1.0,0.5859,0.6943,0.9999,1187.0,0.2148,115.82,195.0,11.06,5.6
chicago_0896,chicago,896,41.756149,-87.568865,452308.44,4622458.65,453108.44,4623258.65,EPSG:32616,1782,441,441,2,440,0.9977,1.523877,0.425246,1.418418,0.395817,0.996079,1602,440,314,98,4,0.713636,0.222727,0.009091,3.6409,37.72,30216.03,0.413714,687.5,47.2125,1.003057,19,20495.05,93.14,0.0045,0.9999,0.5099,0.5019,0.9999,1534.0,0.3182,132.76,145.74,11.14,3.6
chicago_0378,chicago,378,42.014781,-87.706431,441108.44,4651258.65,441908.44,4652058.65,EPSG:32616,1448,388,388,2,387,0.9974,1.556656,0.434393,1.512616,0.422104,0.993988,1342,387,249,95,25,0.643411,0.245478,0.064599,3.4677,39.77,26684.78,0.370611,604.69,41.695,1.002688,15,19088.99,1238.95,0.0649,1.0,0.5084,0.5222,0.9998,1098.0,0.2098,122.28,407.55,11.09,5.91
chicago_0376,chicago,376,42.000371,-87.706272,441108.44,4649658.65,441908.44,4650458.65,EPSG:32616,1506,394,394,2,393,0.9975,1.523356,0.425101,1.493981,0.416903,0.996109,1370,393,225,140,8,0.572519,0.356234,0.020356,3.4962,37.63,25851.16,0.377721,614.06,40.3924,1.012389,13,20437.68,155.48,0.0076,0.9989,0.5063,0.5031,0.9981,1034.0,0.2238,138.53,199.14,11.79,5.05
brasilia_2412,brasilia,2412,-15.641592,-47.643302,216203.82,8268545.62,217003.82,8269345.62,EPSG:32723,274,79,79,1,79,1.0,1.510247,0.421442,1.477479,0.412298,0.996818,206,79,4,46,6,0.050633,0.582278,0.075949,2.6076,83.46,8596.16,0.163399,123.44,13.4315,1.01885,25,12559.32,9534.11,0.7591,0.9827,0.3712,0.3648,0.9819,,,,,,
